No.,Status Sertifikat,Penggunaan,Kategori Luas,Jenis Nadzir,Kelurahan
286,BELUM,PENDIDIKAN,KECIL,Perorangan,Kuripan Kertoharjo
287,BELUM,PENDIDIKAN,SEDANG,Badan Hukum,Kuripan Kertoharjo
288,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
289,BELUM,MASJID,SEDANG,Perorangan,Sokoduwet
290,BELUM,PENDIDIKAN,BESAR,Perorangan,Sokoduwet
291,BELUM,PENDIDIKAN,SEDANG,Perorangan,Sokoduwet
292,BELUM,PENDIDIKAN,BESAR,Perorangan,Kuripan Kertoharjo
293,BELUM,MASJID,SEDANG,Badan Hukum,Kuripan Kertoharjo
294,BELUM,MUSHOLLAH,BESAR,Perorangan,Banyurip
295,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
296,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
297,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
298,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
299,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
300,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
301,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
302,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
303,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
304,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
305,BELUM,MUSHOLLAH,KECIL,Perorangan,Sokoduwet
306,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
307,BELUM,PENDIDIKAN,SEDANG,Perorangan,Kuripan Kertoharjo
308,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
309,BELUM,MUSHOLLAH,KECIL,Perorangan,Sokoduwet
310,BELUM,MUSHOLLAH,KECIL,Perorangan,Sokoduwet
311,BELUM,MUSHOLLAH,KECIL,Perorangan,Sokoduwet
312,BELUM,MUSHOLLAH,KECIL,Perorangan,Sokoduwet
313,BELUM,MUSHOLLAH,KECIL,Perorangan,Sokoduwet
314,BELUM,PENDIDIKAN,SEDANG,Perorangan,Sokoduwet
315,BELUM,MUSHOLLAH,SEDANG,Perorangan,Kuripan Kertoharjo
316,BELUM,MUSHOLLAH,KECIL,Perorangan,Jenggot
317,BELUM,MUSHOLLAH,KECIL,Perorangan,Jenggot
318,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
